"en","woeid","zh","prov","low","high"
"beijing",2151330,"北京","北京市",-7,0
"shanghai",2151849,"上海","上海市",4,8
"tianji",2159908,"天津","天津市",-3,-1
"chongqing",20070171,"重庆","重庆市",9,13
"harbin",2141166,"哈尔滨","黑龙江省",-26,-16
"changchun",2137321,"长春","吉林省",-21,-13
"shenyang",2148332,"沈阳","辽宁省",-14,-8
"hohhot",2149760,"呼和浩特","内蒙古自治区",-9,-2
"shijiazhuang",2171287,"石家庄","河北省",-4,1
"wulumuqi",26198317,"乌鲁木齐","新疆维吾尔自治区",-14,-7
"lanzhou",2145605,"兰州","甘肃省",-8,7
"xining",2138941,"西宁","青海省",-9,8
"xian",2157249,"西安","陕西省",2,9
"yinchuan",2150551,"银川","宁夏回族自治区",-4,10
"zhengzhou",2172736,"郑州","河南省",0,4
"jinan",2168327,"济南","山东省",1,3
"taiyuan",2154547,"太原","山西省",-3,7
"hefei",2127866,"合肥","安徽省",3,8
"wuhan",2163866,"武汉","湖北省",6,8
"changsha",26198213,"长沙","湖南省",7,11
"nanjing",2137081,"南京","江苏省",3,9
"chengdu",2158433,"成都","四川省",9,16
"guiyang",2146703,"贵阳","贵州省",11,16
"kunming",2160693,"昆明","云南省",4,18
"nanning",2166473,"南宁","广西壮族自治区",18,24
"lasa",26198235,"拉萨","西藏自治区",-7,5
"hangzhou",2132574,"杭州","浙江省",5,8
"nanchang",26198151,"南昌","江西省",9,12
"guangzhou",2161838,"广州","广东省",19,27
"fuzhou",2139963,"福州","福建省",12,18
"taipei",2306179,"台北","台湾省",19,22
"haikou",2162779,"海口","海南省",19,24
"hongkong",24865698,"香港","香港特别行政区",18,25
